"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"12/29/2017","","Saldo Anterior","","0","306.51",
"01/02/2018","","Compra com Cartão","01/02/2018","18792","-59.00",
"01/02/2018","","Compra com Cartão","01/02/2018","185646","-6.75",
"01/02/2018","","Compra com Cartão","01/02/2018","278552","-14.08",
"01/02/2018","","Compra com Cartão","01/02/2018","382132","-30.85",
"01/02/2018","","Compra com Cartão","01/02/2018","403290","-54.00",
"01/02/2018","","Compra com Cartão","01/02/2018","536569","-6.50",
"01/02/2018","","Compra com Cartão","01/02/2018","542797","-30.00",
"01/02/2018","","Banco 24 Horas","01/02/2018","2433100789146","-120.00",
"01/02/2018","","Pagamento conta luz","01/02/2018","10201","-81.13",
"01/02/2018","","Resgate BB CDB DI","01/02/2018","98","500.00",
"01/03/2018","","Resgate BB CDB DI","01/02/2018","3910031768078","1.29",
"01/03/2018","","Compra com Cartão","01/23/0018","251296","-33.42",
"01/03/2018","","Compra com Cartão","01/23/0018","283672","-18.00",
"01/04/2018","8351-8","Saque no TAA","01/04/2018","41830144398646","-2100.00",
"01/04/2018","","Resgate BB CDB DI","01/04/2018","98","2000.00",
"01/05/2018","","Resgate BB CDB DI","01/04/2018","1510031858729","0.68",
"01/05/2018","","Resgate BB CDB DI","01/04/2018","2010031882339","0.45",
"01/05/2018","","Resgate BB CDB DI","01/04/2018","3910031768078","1.55",
"01/05/2018","","Resgate BB CDB DI","01/04/2018","4610031939092","0.16",
"01/05/2018","","Salário ord empregador","01/05/2018","751455","1494.00",
"01/05/2018","","Aplicação BB CDB DI","01/05/2018","2710031989854","-1500.00",
"01/08/2018","8351-8","Saque no TAA","01/08/2018","71909324398646","-40.00",
"01/08/2018","","Telefone Pre-Pago","01/08/2018","971830668021386","-15.00",
"01/09/2018","","Compra com Cartão","01/09/2018","816507","-20.00",
"01/10/2018","","Compra com Cartão","01/10/2018","753449","-15.75",
"01/10/2018","","Tarifa Pacote de Serviços","01/10/2018","880101000700420","-4.55",
"01/11/2018","","Compra com Cartão","01/11/2018","563155","-50.00",
"01/11/2018","8351-8","Saque no TAA","01/11/2018","111946554398646","-550.00",
"01/11/2018","","Resgate BB CDB DI","01/11/2018","98","500.00",
"01/12/2018","","Resgate BB CDB DI","01/11/2018","4610031939092","0.50",
"01/15/2018","","Compra com Cartão","01/15/2018","748558","-287.09",
"01/15/2018","","Compra com Cartão","01/15/2018","879136","-35.80",
"01/15/2018","8351-8","Saque no TAA","01/15/2018","151946234398646","-60.00",
"01/15/2018","","Pagamento de Impostos","01/15/2018","11501","-565.70",
"01/15/2018","","Resgate BB CDB DI","01/15/2018","98","1000.00",
"01/16/2018","","Resgate BB CDB DI","01/15/2018","4610031939092","1.46",
"01/17/2018","","Compra com Cartão","01/17/2018","221477","-11.98",
"01/17/2018","","Compra com Cartão","01/17/2018","235499","-44.98",
"01/17/2018","","Compra com Cartão","01/17/2018","268382","-35.50",
"01/17/2018","","Compra com Cartão","01/17/2018","287206","-48.00",
"01/17/2018","8351-8","Transferência enviada","01/17/2018","223489000021619","-50.00",
"01/17/2018","","Banco 24 Horas","01/17/2018","3144800425146","-170.00",
"01/17/2018","","Resgate BB CDB DI","01/17/2018","98","500.00",
"01/18/2018","","Resgate BB CDB DI","01/17/2018","4610031939092","0.93",
"01/18/2018","","Compra com Cartão","01/18/2018","62926","-85.80",
"01/18/2018","","Compra com Cartão","01/18/2018","860276","-50.00",
"01/19/2018","","Compra com Cartão","01/19/2018","175015","-11.93",
"01/19/2018","","Compra com Cartão","01/19/2018","273879","-10.00",
"01/19/2018","","Banco 24 Horas","01/19/2018","4552600046646","-100.00",
"01/19/2018","","Resgate BB CDB DI","01/19/2018","98","500.00",
"01/22/2018","","Resgate BB CDB DI","01/19/2018","2710031989854","0.40",
"01/22/2018","","Compra com Cartão","01/22/2018","19475","-40.00",
"01/22/2018","","Compra com Cartão","01/22/2018","86617","-6.00",
"01/22/2018","","Compra com Cartão","01/22/2018","184871","-12.60",
"01/22/2018","","Compra com Cartão","01/22/2018","226398","-10.78",
"01/22/2018","","Compra com Cartão","01/22/2018","328820","-44.30",
"01/22/2018","","Compra com Cartão","01/22/2018","337489","-31.20",
"01/22/2018","","Compra com Cartão","01/22/2018","504302","-44.38",
"01/22/2018","","Compra com Cartão","01/22/2018","506859","-7.90",
"01/22/2018","","Compra com Cartão","01/22/2018","744280","-38.50",
"01/23/2018","","Compra com Cartão","01/23/2018","612276","-11.00",
"01/23/2018","","Compra com Cartão","01/23/2018","633627","-114.89",
"01/23/2018","","Compra com Cartão","01/23/2018","696889","-3.00",
"01/23/2018","","Pagamento de Título","01/23/2018","12301","-95.00",
"01/29/2018","","Compra com Cartão","01/29/2018","139136","-27.90",
"01/29/2018","","Compra com Cartão","01/29/2018","395611","-22.50",
"01/29/2018","","Compra com Cartão","01/29/2018","411616","-24.00",
"01/29/2018","","Compra com Cartão","01/29/2018","415088","-3.40",
"01/29/2018","","Compra com Cartão","01/29/2018","482014","-26.50",
"01/29/2018","","Compra com Cartão","01/29/2018","561895","-20.00",
"01/29/2018","","Compra com Cartão","01/29/2018","647469","-35.13",
"01/29/2018","","Compra com Cartão","01/29/2018","869294","-77.80",
"01/29/2018","","Resgate BB CDB DI","01/29/2018","98","500.00",
"01/30/2018","","Resgate BB CDB DI","01/29/2018","2710031989854","1.07",
"01/30/2018","","Compra com Cartão","01/30/2018","333161","-22.93",
"01/31/2018","","S A L D O","","0","273.48",
