"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"02/26/2018","","Saldo Anterior","","0","149.41",
"03/01/2018","","Pagamento conta luz","03/21/0018","30101","-69.73",
"03/02/2018","","Compra com Cartão","03/22/0018","434239","-42.50",
"03/02/2018","","Compra com Cartão","03/22/0018","850662","-54.90",
"03/02/2018","","Compra com Cartão","03/22/0018","881622","-28.90",
"03/02/2018","","Telefone Pre-Pago","03/22/0018","971830668024590","-15.00",
"03/02/2018","","Resgate BB CDB DI","03/22/0018","98","500.00",
"03/05/2018","","Resgate BB CDB DI","03/22/0018","2810032193755","1.06",
"03/05/2018","","Compra com Cartão","03/25/0018","389508","-12.00",
"03/05/2018","","Compra com Cartão","03/25/0018","780747","-3.30",
"03/05/2018","","Transferido para Poupança","03/25/0018","525679510068184","-350.00",
"03/06/2018","","Salário ord empregador","03/26/0018","756701","2549.00",
"03/06/2018","","Aplicação BB CDB DI","03/26/0018","4010032413479","-2500.00",
"03/09/2018","","Pagamento de Impostos","03/29/0018","30901","-45.72",
"03/12/2018","","Compra com Cartão","03/12/2018","279091","-30.00",
"03/12/2018","","Pagamento de Título","03/12/2018","31201","-302.35",
"03/12/2018","","Tarifa Pacote de Serviços","03/12/2018","890711001457706","-4.55",
"03/12/2018","","Resgate BB CDB DI","03/12/2018","98","500.00",
"03/13/2018","","Resgate BB CDB DI","03/12/2018","2810032193755","1.82",
"03/13/2018","","Telefone Pre-Pago","03/13/2018","998198536512190","-15.00",
"03/16/2018","","Compra com Cartão","03/16/2018","365521","-30.00",
"03/22/2018","","Compra com Cartão","03/22/2018","602058","-9.90",
"03/22/2018","","Pagamento de Título","03/22/2018","32201","-95.00",
"03/23/2018","","Telefone Pre-Pago","03/23/2018","998198536507685","-15.00",
"03/31/2018","","S A L D O","","0","77.44",
