"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"01/30/2018","","Saldo Anterior","","0","273.48",
"02/01/2018","","Pagamento conta luz","02/21/0018","20101","-54.80",
"02/02/2018","","Compra com Cartão","02/22/0018","256718","-7.50",
"02/02/2018","","Compra com Cartão","02/22/0018","403147","-20.00",
"02/05/2018","","Compra com Cartão","02/25/0018","115558","-20.00",
"02/05/2018","","Compra com Cartão","02/25/0018","516563","-19.60",
"02/05/2018","","Compra com Cartão","02/25/0018","540726","-20.00",
"02/05/2018","","Telefone Pre-Pago","02/25/0018","971830668509470","-15.00",
"02/05/2018","","Saque em Lotérico da CEF","02/25/0018","321983871","-50.00",
"02/06/2018","","Salário ord empregador","02/26/0018","753968","2349.00",
"02/06/2018","","Compra com Cartão","02/26/0018","22757","-10.50",
"02/06/2018","","Compra com Cartão","02/26/0018","98697","-8.50",
"02/06/2018","","Aplicação BB CDB DI","02/26/0018","2810032193755","-2000.00",
"02/09/2018","","Compra com Cartão","02/29/0018","722854","-19.00",
"02/14/2018","","Compra com Cartão","02/14/2018","108884","-73.59",
"02/14/2018","","Compra com Cartão","02/14/2018","131241","-18.27",
"02/14/2018","","Compra com Cartão","02/14/2018","575248","-16.00",
"02/14/2018","","Compra com Cartão","02/14/2018","594790","-50.00",
"02/14/2018","","Banco 24 Horas","02/14/2018","516200633746","-100.00",
"02/14/2018","","Pagamento de Título","02/14/2018","21401","-198.43",
"02/14/2018","","Tarifa Pacote de Serviços","02/14/2018","890451001495044","-4.55",
"02/14/2018","","Resgate BB CDB DI","02/14/2018","98","500.00",
"02/15/2018","","Resgate BB CDB DI","02/14/2018","2710031989854","2.17",
"02/16/2018","","Compra com Cartão","02/16/2018","493382","-30.00",
"02/16/2018","","Compra com Cartão","02/16/2018","497418","-98.17",
"02/16/2018","","Compra com Cartão","02/16/2018","502446","-21.90",
"02/19/2018","","Compra com Cartão","02/19/2018","135250","-6.40",
"02/19/2018","","Compra com Cartão","02/19/2018","151161","-37.80",
"02/19/2018","","Compra com Cartão","02/19/2018","170744","-30.89",
"02/19/2018","","Compra com Cartão","02/19/2018","256236","-7.75",
"02/19/2018","","Compra com Cartão","02/19/2018","385848","-56.92",
"02/19/2018","","Compra com Cartão","02/19/2018","815378","-70.18",
"02/19/2018","","Compra com Cartão","02/19/2018","851282","-15.42",
"02/19/2018","","Banco 24 Horas","02/19/2018","4143300654846","-100.00",
"02/19/2018","","Resgate BB CDB DI","02/19/2018","98","500.00",
"02/20/2018","","Resgate BB CDB DI","02/19/2018","2810032193755","0.26",
"02/20/2018","","Pagamento de Título","02/20/2018","22001","-95.00",
"02/21/2018","","Telefone Pre-Pago","02/21/2018","998198536509918","-15.00",
"02/22/2018","","Compra com Cartão","02/22/2018","203595","-61.42",
"02/23/2018","","Compra com Cartão","02/23/2018","368768","-20.00",
"02/23/2018","","Compra com Cartão","02/23/2018","799351","-18.75",
"02/26/2018","","Compra com Cartão","02/26/2018","129068","-30.00",
"02/26/2018","","Compra com Cartão","02/26/2018","157829","-14.17",
"02/26/2018","","Compra com Cartão","02/26/2018","212833","-4.99",
"02/26/2018","","Compra com Cartão","02/26/2018","507681","-30.00",
"02/26/2018","","Compra com Cartão","02/26/2018","769997","-5.00",
"02/28/2018","","S A L D O","","0","149.41",
